sessionID,h_score
6T2XLYr7Wfkzf4yfy,80.0
LrhhoxF9eTc89ATuh,100.0
TswMNGkWphmifcnQj,80.0
aoqkjhuh7zeJambuQ,80.0
os8DYKH3JFTrCbsHr,80.0
rbn3KCpDpue83pdvY,100.0
J66mRegfbmKtZDjNJ,80.0
ZmkfDH8LhmApWKaAy,100.0
gmzmJuLC9K8krctAS,80.0
PaGitKNQJWjwwWBJz,100.0
jShhNBy5rjsbg2McF,80.0
cx4Bxag4RA5NdmHTw,100.0
qwYgfScRq4avjRErY,80.0
4TnWnqGDEx35XW4pY,80.0
6tYTXPJCLMe5S2ar4,100.0
ZxgnhresAGTmqxdCX,100.0
Gpxus3fjYDhbNx6De,100.0
gkdZfgWEMNYFqCoWW,100.0
9kvLL6bFayW4qab5v,100.0
YMGPEov4AWbxWfaNa,80.0
B85aLn6wRmrRjJPPz,100.0
J3dgSF3WgJaGptjGo,80.0
uAz6pjRgxxjgmx8X6,80.0
BP4yKbbnTzaFw4zoD,100.0
iPt6iHn6svLHGzWhD,100.0
pDd5RRdK6z8zhSzCf,80.0
rJMb5QfCRmHdb9YHn,100.0
9pmdpfRiM3t37KZwd,100.0
Ft6QFqyHGxJ9NQNLW,100.0
Fd8pGMbfhMadRLeSf,100.0
Egxy6XG2KBcSMKvQq,100.0
uzGiGQbLeFivwXgoC,80.0
3LMA5j5Gnr4QvcXM6,100.0
qgAfQs3fBitMkpxmi,100.0
KmhqCAyyngNgCqaKL,100.0
NscBbH9rFa9eBWiSN,100.0
PauwHdLFEiHTGSYQc,100.0
kziPwDjHCZuWxhgGa,100.0
8u2vAMJ6ojioEoYzw,80.0
tTZkZgJtXWnj2BQzB,80.0
JW4ESpJT6YMfjNGLz,100.0
rXXREu3wQodCTNpXi,100.0
tXz8hspCXZ9y2LTWg,80.0
EbS3jrpzwZoRntvbz,100.0
QtMDKmvQs6gDQGaWY,80.0
7JwSKweh9wLJ7Xtbg,100.0
yFGdo78Tc7as9Srim,80.0
e7o5sgGPqKmk4J6cy,100.0
rKqSRcuzXE7WrEDGm,100.0
ZAsi8DQ7t436of9DH,80.0
BMsTF7J3xFxdpaTu9,80.0
zPvnwnHoH4w2P3qex,100.0
5btFnWnB3fT5xk9Nw,100.0
ifxHXitCvZpeYTPHx,80.0
prdxEnW9WALrPXqoL,100.0
pAp7NPwBZF2oarjpP,100.0
Q8iC59JBSPe47N69r,80.0
tM9hed4inFWH6jt2j,100.0
Boiu8Y6JBMKyz4eqk,100.0
h836tLbJX9QyqSK9z,100.0
rXRuJCmstQGe3yq26,100.0
cJkbdukCJsf7TFQMs,100.0
TPRGyQGo4TPn4DozG,80.0
NdhZo2QKNXKW8uuHu,100.0
Y8YzDEjtmX9hm4tFF,100.0
LSEarw6aR2tMZMNRj,100.0
LsfZSvqXqNNsn2wsL,100.0
hQCkNZfQofWx3dfBL,100.0
zrXYpuvTrBBMynzgD,100.0
opeHrnPaPgsW9m73a,100.0
tE7iKQsQqtvupWHb8,100.0
g72EqmnbaWS6Lm8FY,100.0
xrr2u3gtK3czxYPrs,100.0
WFM4Cir8Hs4h9mdY3,100.0
76nC6raysvHwMMhSX,80.0
kr5FnAraKqHaxuzzG,100.0
d6DNR85wp9Qz7EWPX,100.0
iRZkWuxNjZJhfS6xG,80.0
P5JfCD7NuCqTTZHJH,100.0
7t7kyRi2dJLdwDhPp,100.0
PmNbYiTnTuoikRvy7,100.0
tZdf3G74GLGyqQQPh,80.0
kqPaEzvRRzDr5rfCB,80.0
8T4g9gu634fY5gHYP,80.0
2MEusbbF3PJkeTqon,100.0
