_SpeedIndex,_TTFB,_bytesIn,_bytesInDoc,_connections,_domContentLoadedEventEnd,_domContentLoadedEventStart,_domElements,_firstPaint,_firstPaint_css_size,_firstPaint_html_size,_firstPaint_image_size,_firstPaint_js_size,_firstPaint_text_size,_lastVisualChange,_loadTime,_loadTime_css_size,_loadTime_html_size,_loadTime_image_size,_loadTime_js_size,_loadTime_text_size,_render,_render_css_size,_render_html_size,_render_image_size,_render_js_size,_render_text_size,_requests,_requestsDoc,_visualComplete,uid
3024,447,1565982,1364244,37,2535,2455,1794,1106,26936,22083,20761,45441,68365,8296,4218,26936,28897,685887,534480,493767,1296,26936,22083,70438,48054,68365,111,107,8300,160605_1H_2X9
3074,231,4239814,4157998,85,3138,2876,1868,1549,264238,23945,68114,246365,288183,12695,10071,264238,58689,3179734,546798,339963,1596,264238,23945,81751,246365,288183,229,169,10500,160605_6H_2ZS
6022,268,2830227,903521,89,1243,1243,1826,1030,151209,45313,69417,0,196522,7596,2295,151209,45313,684976,4310,196522,996,151209,45313,53227,0,196522,188,41,7600,160605_1R_2C3
4289,355,1461388,1069622,48,1994,1907,916,887,54784,0,0,581,54784,7096,4245,54784,393675,21253,471829,637142,996,54784,0,16334,581,54784,113,67,7100,160605_WV_2KH
2881,524,4205475,4163397,58,10195,9805,1684,1651,162557,0,58248,213347,162557,18014,12623,203339,147100,1420823,1717925,1447130,1596,162557,0,58248,213347,162557,191,175,15900,160605_HD_2EK
3570,740,3093396,3091687,16,1813,1745,390,1813,54482,30453,8470,228089,309538,8402,6267,55216,30453,2713076,244111,326294,1696,54482,30453,8470,228089,309538,64,63,8400,160605_H0_2QZ
4196,367,1235394,1193122,65,3873,3815,602,1345,2039,32844,3267,264779,85984,8096,4573,7322,34074,511943,455555,162214,2596,7322,32996,403655,299805,99467,108,104,8100,160605_HB_2VQ
5784,373,2811950,2302758,118,2479,2472,3954,2376,149867,37751,280900,248635,383908,11396,6452,179741,55195,969967,789020,838347,2397,149867,37751,280900,248635,383908,235,161,11400,160605_DN_289
3632,1933,1707902,1670242,77,3002,2978,417,3025,49714,12107,96486,141675,62209,8729,5566,49714,17460,885731,228477,113643,3106,49714,12107,96486,161118,62209,134,103,8700,160605_AV_2N7
4720,548,3100085,3006735,84,2689,2540,639,1634,48434,11796,40735,259395,94532,9096,7099,48434,37378,2168090,441454,179177,1696,48434,11796,40735,259395,94532,193,173,9100,160605_AK_31B
3833,470,2741489,2705342,29,2088,2020,1070,1988,57078,15565,176340,222457,295100,7096,5617,410389,17454,1908566,282746,671964,2000,57078,15565,176340,222457,295100,81,74,7100,160605_B7_2W3
5578,558,2177583,2075412,12,3798,3776,962,2081,24188,16159,13830,287867,40347,10096,6519,25656,16255,1569117,353222,76715,3796,25656,16159,503576,341730,65127,79,73,10100,160605_CK_2DK
8710,1701,4355937,4327657,34,3046,2798,1210,2776,74187,24241,46016,202429,98428,14845,11930,74187,51806,3593124,277700,416599,2798,74187,24241,46016,202429,98428,110,104,14800,160605_M5_2DB
8729,119,5076160,4986554,81,6702,6582,911,1102,108752,15231,5255,668,124651,15396,10681,112429,19340,2884000,1649477,1243361,1296,108752,15231,24211,107067,215014,183,150,15400,160605_9M_2NB
6654,154,2634615,1965480,73,2131,2013,1399,1598,44298,21699,24979,396475,201151,9821,5530,44722,21699,1289043,426159,341212,1696,44298,21699,24979,396475,214351,135,47,9800,160605_ND_29X
3752,329,3903274,3844896,96,4063,4039,2647,947,42707,37014,21870,44175,79721,7296,10636,62926,59012,2261336,543129,221359,996,42707,37014,21870,44175,79721,185,145,7300,160605_FK_2DD
2617,1357,1847257,1503714,70,2736,2700,1068,2166,50855,32731,11318,0,83586,8609,4377,50855,33935,775068,253399,114406,2196,50855,32731,11318,0,83586,162,98,8600,160605_PA_321
3485,327,2417462,2406565,75,2894,2799,2147,562,8614,37928,0,25909,46542,7496,5247,57127,40604,1585708,493490,156057,1196,50744,37928,20958,179358,125121,172,165,7500,160605_WH_2V7
4846,105,1793212,1403857,73,667,667,1034,660,52483,15858,496,17142,68341,7796,2908,52483,15858,779310,244533,97910,597,52483,15858,0,17142,68341,138,37,7800,160605_71_2SN
5138,397,2000472,1352776,65,2606,2474,3487,1208,68795,64069,15996,69872,157408,12759,4028,146602,66084,367605,695753,511063,1196,68795,64069,15996,69872,157408,134,77,12800,160605_6Q_311
2844,467,2630777,1491958,73,1513,1513,940,1494,86035,23711,11561,205933,109746,9596,3507,89917,25457,1103569,241177,115374,1496,86035,23711,11561,205933,109746,156,63,7400,160605_WA_2JV
6295,375,2359536,2316401,40,1934,1931,3192,613,63245,33755,5204,0,97000,11896,7397,84050,91159,1560474,542747,650427,1796,63245,33755,180195,15883,111258,218,212,11900,160605_C4_2YV
2431,810,989369,973397,98,1391,1387,1231,1205,10875,32492,32512,42904,67956,9495,5501,10875,64717,497339,172557,126333,1296,10875,32492,47485,102409,67956,178,162,9500,160605_HY_325
7467,96,2106195,2039476,100,3867,3733,1260,2766,66815,27889,519034,329980,363090,11496,5754,71064,40440,1119960,561111,611740,3796,70119,28235,1061356,389362,404232,221,164,11500,160605_CS_2P7
5028,753,1932699,1484441,133,2484,2461,1375,2128,101656,27511,160565,210001,148118,8996,3636,101656,27880,1029641,300861,224164,2196,101656,27511,282564,210001,148118,272,67,9000,160605_QF_2K3
2616,351,2906064,2818392,84,2946,2873,915,2456,82428,22721,211017,356299,225868,9196,6024,96571,31604,1562885,689307,423433,2396,82428,22721,207351,356299,225868,166,105,8600,160605_02_2D3
5488,196,2417678,944316,89,1756,1691,2587,1522,232544,36109,19496,188344,445826,7596,3129,232544,36261,433745,188878,445978,1496,232544,36109,19496,188344,445826,181,60,7600,160605_TR_2WD
6526,493,3364152,2367309,73,3501,2919,1397,2322,324187,27131,21079,515104,361324,11096,6281,324501,60925,1035627,760360,616043,2496,324187,27131,30571,515104,361324,167,144,11100,160605_G8_2K7
4589,393,5317107,5277465,92,4048,3738,3689,1815,25911,154842,0,198648,374699,12896,12365,178623,440656,2607477,1436126,1180123,2496,101427,154842,48090,237128,467289,269,264,12900,160605_X6_2SV
2047,120,1297010,1133231,49,2082,1906,1404,452,67029,27537,0,28215,97661,7296,3229,67029,29140,372930,590435,484619,1896,67029,27537,338136,387137,443312,126,99,7100,160605_58_2P5
4659,502,2883533,1472106,122,2696,2297,1346,1710,60423,19387,259435,123058,202868,9796,4836,60423,20273,559896,274559,263867,2196,60423,19387,399108,166539,219794,264,95,9800,160605_98_2ZN
7972,1679,2456038,2271908,35,6554,6544,1131,6332,101084,119532,91070,843064,479733,9197,10326,101084,119899,827732,908895,491592,6096,101084,119532,63252,843064,479733,136,94,9200,160605_53_2RZ
1937,349,2760234,2757039,48,1741,1548,1146,1400,42322,34781,190198,91806,87219,8174,5791,217524,61775,1951102,322912,366839,1596,42322,34781,242634,91806,87219,100,95,8200,160605_YQ_2EN
3459,475,5829757,5758707,67,3785,3681,1379,892,55977,12412,0,57821,68389,11496,10536,74984,75158,4894889,518239,175667,1896,55977,12412,121938,238043,68389,254,224,11500,160605_0C_2QH
5968,140,3364625,3353561,40,2242,1915,3159,1792,170312,30042,275348,169274,369342,8996,6082,170312,32767,2640180,247842,384536,1796,170312,30042,275348,169274,369342,78,75,9000,160605_F8_2VZ
3573,349,3895329,3709253,160,3063,2768,1645,2225,337010,37795,31303,523071,571825,11697,7616,377792,121235,1405554,1557415,1279312,2396,337010,37795,44572,539014,583317,346,215,11700,160605_J1_2D5
2720,1134,2366562,2343505,31,2397,2389,954,1518,35797,6426,31049,287,42510,8196,5949,35797,590585,987287,445358,808022,1496,35797,6426,31049,287,42510,71,63,8200,160605_W8_2J3
3330,1208,2789137,2595205,78,1788,1740,1168,1393,0,120,0,0,120,8896,6013,23739,23683,2020939,327445,134304,1297,0,120,0,0,120,147,90,8900,160605_E7_2QD
